年月日,平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
2020/11/25,10,8,1,10.5,8,1,12.1,8,1,9.2,8,1,5,0,8,1
2020/11/26,4.8,8,1,12.8,8,1,18.6,8,1,9.2,8,1,0,1,8,1
2020/11/27,9.5,8,1,11.6,8,1,13.2,8,1,10.2,8,1,0,0,8,1
2020/11/28,5,8,1,11.8,8,1,17.3,8,1,8.8,8,1,0,1,8,1
2020/11/29,8,8,1,10.1,8,1,13.7,8,1,7.5,8,1,0,1,8,1
2020/11/30,6.3,8,1,9.9,8,1,14.9,8,1,5.2,8,1,0,1,8,1
2020/12/1,0.8,8,1,10.2,8,1,14.9,8,1,5.6,8,1,0,1,8,1
2020/12/2,9.8,8,1,8.2,8,1,10.2,8,1,7,8,1,8,0,8,1
2020/12/3,8,8,1,8.1,8,1,10.6,8,1,6.7,8,1,0,0,8,1
2020/12/4,5.3,8,1,9.2,8,1,13.9,8,1,5.5,8,1,0,1,8,1
2020/12/5,10,8,1,6.6,8,1,7.7,8,1,4.4,8,1,3.5,0,8,1
2020/12/6,4.8,8,1,8.2,8,1,13.5,8,1,4.4,8,1,0,1,8,1
2020/12/7,0.8,8,1,9.7,8,1,16.1,8,1,4.7,8,1,0,1,8,1
2020/12/8,5,8,1,11.4,8,1,17.2,8,1,5.8,8,1,0,0,8,1
2020/12/9,10,8,1,9.8,8,1,12.2,8,1,7.9,8,1,0,0,8,1
2020/12/10,7.5,8,1,9.3,8,1,12.2,8,1,6.9,8,1,0,0,8,1
2020/12/11,5.5,8,1,10.2,8,1,14.4,8,1,5.3,8,1,0,1,8,1
2020/12/12,10,8,1,11.4,8,1,15,8,1,8.3,8,1,0,1,8,1
2020/12/13,3.5,8,1,9.9,8,1,15.4,8,1,5.9,8,1,0,1,8,1
2020/12/14,8.5,8,1,8.5,8,1,13.1,8,1,5.5,8,1,0,0,8,1
2020/12/15,4.5,8,1,6.1,8,1,11.3,8,1,2,8,1,0,1,8,1
2020/12/16,2.8,8,1,4.6,8,1,9.6,8,1,0.5,8,1,0,1,8,1
2020/12/17,0.3,8,1,4.3,8,1,9.4,8,1,-0.1,8,1,0,1,8,1
2020/12/18,2.5,8,1,6.1,8,1,11.6,8,1,0.5,8,1,0,1,8,1
2020/12/19,5.8,8,1,5.8,8,1,9.4,8,1,1.6,8,1,0,1,8,1
2020/12/20,0.8,8,1,4.4,8,1,9.4,8,1,-0.6,8,1,0,1,8,1
2020/12/21,0,8,1,5.3,8,1,11.2,8,1,0.1,8,1,0,1,8,1
2020/12/22,1.8,8,1,5.6,8,1,11.7,8,1,0.5,8,1,0,1,8,1
2020/12/23,2.5,8,1,7.7,8,1,14.1,8,1,1.2,8,1,0,1,8,1
2020/12/24,7.5,8,1,8,8,1,12.9,8,1,2.6,8,1,0,1,8,1
2020/12/25,5.5,8,1,8.7,8,1,14,8,1,4.7,8,1,0,1,8,1
2020/12/26,2.3,8,1,6.4,8,1,11.8,8,1,1.5,8,1,0,1,8,1
2020/12/27,7.8,8,1,7.8,8,1,12.7,8,1,3.4,8,1,0,1,8,1
2020/12/28,5.5,8,1,8.5,8,1,13.5,8,1,6.2,8,1,0,0,8,1
2020/12/29,5.8,8,1,8.7,8,1,13.1,8,1,4.3,8,1,0,1,8,1
2020/12/30,10,8,1,6.9,8,1,12.3,8,1,2.7,8,1,1.5,0,8,1
2020/12/31,0.8,8,1,3.4,8,1,7.6,8,1,-0.2,8,1,0,1,8,1
2021/1/1,0,8,1,4.4,8,1,10.5,8,1,-1.3,8,1,0,1,8,1
2021/1/2,2,8,1,4.8,8,1,10.8,8,1,0.1,8,1,0,1,8,1
2021/1/3,4,8,1,3.7,8,1,8.4,8,1,-0.4,8,1,0,1,8,1
2021/1/4,4.8,8,1,5.8,8,1,11.4,8,1,1.3,8,1,0,1,8,1
2021/1/5,10,8,1,6,8,1,10,8,1,2.5,8,1,0,1,8,1
2021/1/6,10,8,1,5.3,8,1,6.8,8,1,3.9,8,1,0,0,8,1
2021/1/7,7.5,8,1,6.3,8,1,12.7,8,1,2,8,1,0,1,8,1
2021/1/8,4,8,1,2.4,8,1,6.5,8,1,-1.5,8,1,0,1,8,1
2021/1/9,2,8,1,2.9,8,1,8.4,8,1,-1.5,8,1,0,1,8,1
2021/1/10,2.3,8,1,2.6,8,1,8.1,8,1,-2.4,8,1,0,1,8,1
2021/1/11,7.5,8,1,2.3,8,1,6.5,8,1,-1.3,8,1,0,1,8,1
2021/1/12,10,8,1,3.4,8,1,5.7,8,1,1.2,8,1,0,0,8,1
2021/1/13,1.3,8,1,5.8,8,1,12.5,8,1,-0.5,8,1,0,1,8,1
2021/1/14,0,8,1,7.9,8,1,14.5,8,1,0.9,8,1,0,1,8,1
2021/1/15,7.5,8,1,6.6,8,1,7.6,8,1,4.9,8,1,0,0,8,1
2021/1/16,3.3,8,1,10,8,1,18.7,8,1,4.3,8,1,0,1,8,1
2021/1/17,9.8,8,1,6.1,8,1,8,8,1,4.1,8,1,0,1,8,1
2021/1/18,5,8,1,4.3,8,1,8.6,8,1,1,8,1,0,1,8,1
2021/1/19,0,8,1,4.4,8,1,9.5,8,1,1,8,1,0,1,8,1
2021/1/20,0.3,8,1,3.9,8,1,9.5,8,1,0.2,8,1,0,1,8,1
2021/1/21,4,8,1,4.8,8,1,10.7,8,1,-0.3,8,1,0,1,8,1
2021/1/22,6.5,8,1,8.7,8,1,16,8,1,1.2,8,1,0,1,8,1
2021/1/23,10,8,1,6.4,8,1,10.2,8,1,2.7,8,1,19,0,8,1
2021/1/24,10,8,1,4.3,8,1,6.5,8,1,2.3,8,1,13,0,8,1
2021/1/25,7.3,8,1,7.6,8,1,13.2,8,1,3.8,8,1,1.5,0,8,1
2021/1/26,5.8,8,1,7.5,8,1,11.2,8,1,2.7,8,1,0,1,8,1
2021/1/27,9.5,8,1,10.3,8,1,16.2,8,1,6.4,8,1,1,0,8,1
2021/1/28,10,8,1,4.4,8,1,7.9,8,1,0.9,8,1,9,0,8,1
2021/1/29,4.5,8,1,5.3,8,1,10.8,8,1,0.7,8,1,0,1,8,1
2021/1/30,0,8,1,4.1,8,1,9.3,8,1,0.9,8,1,0,1,8,1
2021/1/31,0,8,1,5.4,8,1,11.9,8,1,-0.4,8,1,0,1,8,1
2021/2/1,6.5,8,1,7.2,8,1,14,8,1,1.8,8,1,0,0,8,1
2021/2/2,7.3,8,1,8.8,8,1,15.6,8,1,4.3,8,1,12,0,8,1
2021/2/3,1.3,8,1,6.2,8,1,11.8,8,1,1,8,1,0,1,8,1
2021/2/4,0,8,1,7,8,1,12.6,8,1,0.6,8,1,0,1,8,1
2021/2/5,4,8,1,7.1,8,1,12.4,8,1,1.9,8,1,0,1,8,1
2021/2/6,1.8,8,1,8.9,8,1,15,8,1,4.2,8,1,0,1,8,1
2021/2/7,2,8,1,9.9,8,1,16.3,8,1,4.4,8,1,0,0,8,1
2021/2/8,5.8,8,1,6.1,8,1,11,8,1,2.8,8,1,0,1,8,1
2021/2/9,0,8,1,4.7,8,1,9.6,8,1,0.8,8,1,0,1,8,1
2021/2/10,5,8,1,6.7,8,1,12.1,8,1,1.7,8,1,0,1,8,1
2021/2/11,3.5,8,1,8.7,8,1,14.1,8,1,3.3,8,1,0,1,8,1
2021/2/12,10,8,1,7.8,8,1,11.7,8,1,3.4,8,1,0,1,8,1
2021/2/13,5,8,1,10.4,8,1,16.2,8,1,4.9,8,1,0,1,8,1
2021/2/14,5.8,8,1,12.3,8,1,18.2,8,1,6.8,8,1,0,1,8,1
2021/2/15,7.5,8,1,11.4,8,1,14.1,8,1,8.3,8,1,76.5,0,8,1
2021/2/16,0,8,1,10.6,8,1,16.4,8,1,5.1,8,1,0,1,8,1
2021/2/17,2.3,8,1,7.6,8,1,13.1,8,1,2.2,8,1,0,0,8,1
2021/2/18,4.3,8,1,4.3,8,1,10.4,8,1,-0.5,8,1,0,1,8,1
2021/2/19,0.3,8,1,6.9,8,1,12.3,8,1,1.4,8,1,0,1,8,1
2021/2/20,0,8,1,10.2,8,1,18.1,8,1,1.4,8,1,0,1,8,1
2021/2/21,0,8,1,13.9,8,1,20.9,8,1,7.3,8,1,0,1,8,1
2021/2/22,1.5,8,1,14.9,8,1,21.9,8,1,7.7,8,1,0,1,8,1
2021/2/23,3.8,8,1,11,8,1,15.5,8,1,5.5,8,1,0,1,8,1
2021/2/24,7,8,1,6.4,8,1,11.9,8,1,3.2,8,1,0,1,8,1
2021/2/25,4.5,8,1,6.6,8,1,11.3,8,1,1.5,8,1,0,1,8,1
2021/2/26,10,8,1,8.7,8,1,11.8,8,1,5.6,8,1,0,1,8,1
2021/2/27,5.3,8,1,5.7,8,1,9.6,8,1,2.1,8,1,0,1,8,1
2021/2/28,3.3,8,1,6.6,8,1,12.9,8,1,0.3,8,1,0,1,8,1
2021/3/1,7,8,1,11.8,8,1,19.1,8,1,4.6,8,1,0.5,0,8,1
2021/3/2,10,8,1,13.5,8,1,19.8,8,1,7.9,8,1,9.5,0,8,1
2021/3/3,5,8,1,7.4,8,1,11.8,8,1,3.8,8,1,0,1,8,1
2021/3/4,9,8,1,9,8,1,15,8,1,2.3,8,1,0,1,8,1
2021/3/5,9.8,8,1,11.8,8,1,17.4,8,1,8.4,8,1,2,0,8,1
2021/3/6,10,8,1,13.8,8,1,21,8,1,9.6,8,1,0.5,0,8,1
2021/3/7,10,8,1,7.8,8,1,10.3,8,1,5.8,8,1,0,1,8,1
2021/3/8,10,8,1,6.6,8,1,7.7,8,1,5.1,8,1,5.5,0,8,1
2021/3/9,10,8,1,9.6,8,1,13.7,8,1,5.7,8,1,0,0,8,1
2021/3/10,3,8,1,12,8,1,19.4,8,1,6.8,8,1,0,1,8,1
2021/3/11,2.5,8,1,9.9,8,1,15.4,8,1,4.2,8,1,0,1,8,1
2021/3/12,10,8,1,12.7,8,1,18,8,1,7.5,8,1,0,0,8,1
2021/3/13,9.5,8,1,11.1,8,1,13.9,8,1,8.1,8,1,65,0,8,1
2021/3/14,0.8,8,1,12.5,8,1,18.2,8,1,8.1,8,1,0,1,8,1
2021/3/15,0.3,8,1,12.9,8,1,19.5,8,1,8.3,8,1,0,1,8,1
2021/3/16,8.5,8,1,14.5,8,1,22,8,1,7.6,8,1,0,1,8,1
2021/3/17,2.5,8,1,13.7,8,1,20.1,8,1,9,8,1,0,1,8,1
2021/3/18,2,8,1,12.3,8,1,17.7,8,1,6.6,8,1,0,1,8,1
2021/3/19,8,8,1,12.9,8,1,18.9,8,1,9.5,8,1,0,1,8,1
2021/3/20,10,8,1,14.1,8,1,18.6,8,1,10.8,8,1,0,0,8,1
2021/3/21,10,8,1,16.7,8,1,19.7,8,1,12.6,8,1,46.5,0,8,1
2021/3/22,10,8,1,12.1,8,1,15.6,8,1,7.5,8,1,0.5,0,8,1
2021/3/23,0.5,8,1,10.8,8,1,15.8,8,1,5.3,8,1,0,0,8,1
2021/3/24,5,8,1,13.8,8,1,20.5,8,1,6.7,8,1,0,1,8,1
2021/3/25,10,8,1,14.5,8,1,18.4,8,1,11.7,8,1,0.5,0,8,1
2021/3/26,2.5,8,1,14.5,8,1,21.2,8,1,10.2,8,1,0,1,8,1
2021/3/27,7.3,8,1,13.7,8,1,18.3,8,1,8,8,1,0,1,8,1
2021/3/28,10,8,1,16.5,8,1,18.6,8,1,14.3,8,1,8,0,8,1
2021/3/29,7.5,8,1,17.5,8,1,23.4,8,1,13.3,8,1,34.5,0,8,1
2021/3/30,9.8,8,1,17.8,8,1,23.3,8,1,14,8,1,0,1,8,1
2021/3/31,5,8,1,17.9,8,1,23.4,8,1,15,8,1,0,0,8,1
2021/4/1,7.8,8,1,16.6,8,1,21.7,8,1,13.6,8,1,0,0,8,1
2021/4/2,9.8,8,1,16,8,1,19.9,8,1,13.4,8,1,0,0,8,1
2021/4/3,5.8,8,1,16.9,8,1,22.3,8,1,11.8,8,1,0,1,8,1
2021/4/4,9,8,1,18.5,8,1,23.3,8,1,15.7,8,1,10.5,0,8,1
2021/4/5,8,8,1,12.9,8,1,17.2,8,1,8.5,8,1,18,0,8,1
2021/4/6,7,8,1,10.6,8,1,15.7,8,1,6.4,8,1,0,1,8,1
2021/4/7,2.8,8,1,13.3,8,1,19.6,8,1,7.9,8,1,0,0,8,1
2021/4/8,5,8,1,13.3,8,1,18.1,8,1,9.6,8,1,2.5,0,8,1
2021/4/9,5.8,8,1,11.9,8,1,18.3,8,1,7.2,8,1,0,0,8,1
2021/4/10,4.3,8,1,10.4,8,1,16.3,8,1,6.8,8,1,0,0,8,1
2021/4/11,0.5,8,1,12.5,8,1,18.6,8,1,6.5,8,1,0,1,8,1
2021/4/12,6,8,1,14.4,8,1,20.8,8,1,9.1,8,1,0,1,8,1
2021/4/13,10,8,1,15.7,8,1,20.1,8,1,12.1,8,1,0.5,0,8,1
2021/4/14,10,8,1,15.3,8,1,19.2,8,1,7.6,8,1,36,0,8,1
2021/4/15,6.5,8,1,10.7,8,1,16.5,8,1,6,8,1,0,0,8,1
2021/4/16,9.5,8,1,13.7,8,1,19.1,8,1,8.2,8,1,0,0,8,1
2021/4/17,10,8,1,15.7,8,1,18.7,8,1,14,8,1,33.5,0,8,1
2021/4/18,3,8,1,16.4,8,1,22,8,1,12.1,8,1,15,0,8,1
2021/4/19,0,8,1,15.8,8,1,21.9,8,1,11,8,1,0,1,8,1
2021/4/20,2.5,8,1,17.2,8,1,24.5,8,1,10.6,8,1,0,1,8,1
2021/4/21,0,8,1,19.1,8,1,25.2,8,1,13.8,8,1,0,1,8,1
2021/4/22,3.3,8,1,18.1,8,1,26.2,8,1,11.3,8,1,0,1,8,1
2021/4/23,1.5,8,1,13.8,8,1,20.4,8,1,9,8,1,0,1,8,1
2021/4/24,8.3,8,1,15.3,8,1,21.6,8,1,8.9,8,1,0,1,8,1
2021/4/25,6,8,1,16.9,8,1,23.2,8,1,12.3,8,1,0,0,8,1
2021/4/26,1.8,8,1,13.4,8,1,19.4,8,1,8.9,8,1,0,1,8,1
2021/4/27,4.8,8,1,14.6,8,1,20.4,8,1,8.2,8,1,0,1,8,1
2021/4/28,7.8,8,1,18.2,8,1,23.8,8,1,10.7,8,1,0,0,8,1
2021/4/29,10,8,1,17.2,8,1,18.8,8,1,16,8,1,37,0,8,1
2021/4/30,5,8,1,18.8,8,1,24.2,8,1,12.7,8,1,3,0,8,1
2021/5/1,6.8,8,1,17.7,8,1,24.1,8,1,12.5,8,1,8,0,8,1
2021/5/2,5.5,8,1,16.3,8,1,23.5,8,1,12.5,8,1,2,0,8,1
2021/5/3,5.3,8,1,16.4,8,1,22.8,8,1,11.4,8,1,0,0,8,1
2021/5/4,5,8,1,18,8,1,24.5,8,1,10.9,8,1,0,1,8,1
2021/5/5,9.3,8,1,18.3,8,1,22.1,8,1,14,8,1,3,0,8,1
2021/5/6,10,8,1,18.5,8,1,24.4,8,1,15.6,8,1,3.5,0,8,1
2021/5/7,10,8,1,17.5,8,1,20.5,8,1,15.3,8,1,1,0,8,1
2021/5/8,5.5,8,1,19.5,8,1,24.9,8,1,12.9,8,1,0,0,8,1
2021/5/9,4.8,8,1,23,8,1,28.5,8,1,17.6,8,1,0,1,8,1
2021/5/10,6.8,8,1,20.2,8,1,25.1,8,1,16.1,8,1,0,0,8,1
2021/5/11,9.8,8,1,17.5,8,1,19.9,8,1,15,8,1,0,0,8,1
2021/5/12,10,8,1,17.9,8,1,21.2,8,1,15.3,8,1,0,1,8,1
2021/5/13,10,8,1,16.1,8,1,18.2,8,1,14.4,8,1,12,0,8,1
2021/5/14,10,8,1,20.8,8,1,26.9,8,1,15.9,8,1,0,0,8,1
2021/5/15,9,8,1,21.2,8,1,26.4,8,1,17.1,8,1,0,1,8,1
2021/5/16,9.5,8,1,20,8,1,22.4,8,1,18.3,8,1,1,0,8,1
2021/5/17,9.3,8,1,23,8,1,25,8,1,19.8,8,1,0.5,0,8,1
2021/5/18,9.8,8,1,20.5,8,1,22.8,8,1,16.6,8,1,1,0,8,1
2021/5/19,10,8,1,17.2,8,1,18.4,8,1,16.1,8,1,9.5,0,8,1
2021/5/20,10,8,1,19.1,8,1,22.3,8,1,16.2,8,1,2,0,8,1
2021/5/21,10,8,1,21.7,8,1,25.2,8,1,16.8,8,1,5,0,8,1
2021/5/22,10,8,1,20,8,1,23.4,8,1,17.5,8,1,2,0,8,1
2021/5/23,5.8,8,1,19.6,8,1,25.4,8,1,15,8,1,5.5,0,8,1
2021/5/24,8.8,8,1,22.1,8,1,28,8,1,16.4,8,1,0,0,8,1
2021/5/25,7.5,8,1,22.4,8,1,28.9,8,1,17,8,1,0,1,8,1
2021/5/26,10,8,1,21.1,8,1,26,8,1,16.9,8,1,0,1,8,1
2021/5/27,10,8,1,16.9,8,1,20.3,8,1,15.5,8,1,35.5,0,8,1
2021/5/28,10,8,1,20.5,8,1,26.1,8,1,15,8,1,0,1,8,1
2021/5/29,8,8,1,22.8,8,1,28.3,8,1,18.3,8,1,0,1,8,1
2021/5/30,8.5,8,1,21.2,8,1,26.8,8,1,17.8,8,1,0.5,0,8,1
2021/5/31,8.3,8,1,20.6,8,1,25.2,8,1,16.4,8,1,7.5,0,8,1
2021/6/1,5,8,1,20.1,8,1,25.7,8,1,15.1,8,1,0.5,0,8,1
2021/6/2,10,8,1,22,8,1,26.4,8,1,19,8,1,0,1,8,1
2021/6/3,8,8,1,22.1,8,1,27.4,8,1,18.1,8,1,3,0,8,1
2021/6/4,10,8,1,21,8,1,23.9,8,1,19.3,8,1,23,0,8,1
2021/6/5,10,8,1,22.1,8,1,26.7,8,1,19.1,8,1,0,0,8,1
2021/6/6,10,8,1,21.7,8,1,24,8,1,19.5,8,1,0.5,0,8,1
2021/6/7,9.5,8,1,23.4,8,1,29.7,8,1,19.7,8,1,0,0,8,1
2021/6/8,6.8,8,1,24.8,8,1,31.4,8,1,18.8,8,1,0,0,8,1
2021/6/9,1.5,8,1,24.5,8,1,31.1,8,1,19.5,8,1,0,1,8,1
2021/6/10,0.8,8,1,24.1,8,1,30.7,8,1,19,8,1,0,1,8,1
2021/6/11,9.5,8,1,23.7,8,1,29.4,8,1,20.6,8,1,0,1,8,1
2021/6/12,8.5,8,1,23.3,8,1,28.1,8,1,19.5,8,1,0,1,8,1
2021/6/13,10,8,1,24.3,8,1,28.1,8,1,21.2,8,1,0,0,8,1
2021/6/14,10,8,1,21,8,1,23.7,8,1,19,8,1,3.5,0,8,1
2021/6/15,7,8,1,23.4,8,1,29.5,8,1,18.8,8,1,1,0,8,1
2021/6/16,10,8,1,22.2,8,1,24.9,8,1,20.6,8,1,30.5,0,8,1
2021/6/17,8.3,8,1,21.8,8,1,26.7,8,1,18.9,8,1,3.5,0,8,1
2021/6/18,10,8,1,22.8,8,1,27.4,8,1,18.5,8,1,0,0,8,1
2021/6/19,10,8,1,20.3,8,1,23.1,8,1,19.2,8,1,12,0,8,1
2021/6/20,10,8,1,22.8,8,1,28.6,8,1,19.5,8,1,14.5,0,8,1
2021/6/21,7.3,8,1,22.9,8,1,27.9,8,1,19.6,8,1,0,1,8,1
2021/6/22,8.5,8,1,23.1,8,1,28.6,8,1,19.1,8,1,0,1,8,1
2021/6/23,10,8,1,22,8,1,25.6,8,1,20.6,8,1,1.5,0,8,1
2021/6/24,8.8,8,1,22.8,8,1,27.2,8,1,19.1,8,1,0,0,8,1
2021/6/25,8.8,8,1,23.3,8,1,27.5,8,1,20.7,8,1,19,0,8,1
2021/6/26,10,8,1,24.2,8,1,28.4,8,1,20.5,8,1,0,0,8,1
2021/6/27,10,8,1,23.7,8,1,26.7,8,1,21.6,8,1,0,0,8,1
2021/6/28,7.5,8,1,24.4,8,1,29.6,8,1,20.1,8,1,0,0,8,1
2021/6/29,9.5,8,1,21.9,8,1,28.4,8,1,18.8,8,1,53,0,8,1
2021/6/30,10,8,1,20.6,8,1,23.1,8,1,18.4,8,1,3,0,8,1
